film,year,sag_nominee_CAST IN A MOTION PICTURE,sag_nominee_LEADING ROLE - FEMALE,sag_nominee_SUPPORTING ROLE - FEMALE,sag_nominee_LEADING ROLE - MALE,sag_nominee_MALE SUPPORT IN A MOTION PICTURE ,sag_nominee_SUPPORTING ROLE - MALE,sag_winner_CAST IN A MOTION PICTURE,sag_winner_LEADING ROLE - FEMALE,sag_winner_SUPPORTING ROLE - FEMALE,sag_winner_LEADING ROLE - MALE,sag_winner_MALE SUPPORT IN A MOTION PICTURE ,sag_winner_SUPPORTING ROLE - MALE,imdb_id
"GOOD NIGHT, AND GOOD LUCK.",2006 - 12th Annual,1,0,0,1,0,0,0,0,0,0,0,0,0433383
GOOD WILL HUNTING,1998 - 4th Annual,1,0,1,1,0,0,0,0,0,0,0,0,0119217
GOSFORD PARK,2002 - 8th Annual,1,0,1,0,0,0,1,0,1,0,0,0,0280707
GRAVITY,2014 - 20th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1454468
GREEN BOOK,2019 - 25th Annual,0,0,0,1,1,0,0,0,0,0,1,0,6966692
HAIRSPRAY,2008 - 14th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0427327
HALF NELSON,2007 - 13th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0468489
HIDDEN FIGURES,2017 - 23rd Annual,1,0,0,0,0,0,1,0,0,0,0,0,4846340
HILARY AND JACKIE,1999 - 5th Annual,0,1,1,0,0,0,0,0,0,0,0,0,0150915
HITCHCOCK,2013 - 19th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0975645
HOTEL RWANDA,2005 - 11th Annual,1,0,1,1,0,0,0,0,0,0,0,0,0395169
HOUSE OF SAND AND FOG,2004 - 10th Annual,0,0,0,1,0,0,0,0,0,0,0,0,0315983
HOW TO MAKE AN AMERICAN QUILT,1996 - 2nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,0113347
HUSTLE & FLOW,2006 - 12th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0410097
I AM SAM,2002 - 8th Annual,0,0,1,1,0,0,0,0,0,0,0,0,0277027
I'M NOT THERE,2008 - 14th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0368794
IN AMERICA,2004 - 10th Annual,1,0,0,0,0,0,0,0,0,0,0,0,0087843
IN THE BEDROOM,2002 - 8th Annual,1,1,0,1,0,0,0,0,0,0,0,0,0247425
