film,year,sag_nominee_CAST IN A MOTION PICTURE,sag_nominee_LEADING ROLE - FEMALE,sag_nominee_SUPPORTING ROLE - FEMALE,sag_nominee_LEADING ROLE - MALE,sag_nominee_MALE SUPPORT IN A MOTION PICTURE ,sag_nominee_SUPPORTING ROLE - MALE,sag_winner_CAST IN A MOTION PICTURE,sag_winner_LEADING ROLE - FEMALE,sag_winner_SUPPORTING ROLE - FEMALE,sag_winner_LEADING ROLE - MALE,sag_winner_MALE SUPPORT IN A MOTION PICTURE ,sag_winner_SUPPORTING ROLE - MALE,imdb_id
THE DESCENDANTS,2012 - 18th Annual,1,0,0,1,0,0,0,0,0,0,0,0,1033575
THE DEVIL WEARS PRADA,2007 - 13th Annual,0,1,0,0,0,0,0,0,0,0,0,0,458352
THE END OF THE AFFAIR,2000 - 6th Annual,0,1,0,0,0,0,0,0,0,0,0,0,172396
THE ENGLISH PATIENT,1997 - 3rd Annual,1,1,0,1,0,0,0,0,0,0,0,0,116209
THE FAVOURITE,2019 - 25th Annual,0,1,1,0,0,0,0,0,0,0,0,0,5083738
THE FIGHTER,2011 - 17th Annual,1,0,1,0,0,0,0,0,1,0,0,0,964517
THE FULL MONTY,1998 - 4th Annual,1,0,0,0,0,0,1,0,0,0,0,0,119164
THE GRAND BUDAPEST HOTEL,2015 - 21st Annual,1,0,0,0,0,0,0,0,0,0,0,0,2278388
THE GREEN MILE,2000 - 6th Annual,1,0,0,0,0,0,0,0,0,0,0,0,120689
THE HELP,2012 - 18th Annual,1,1,1,0,0,0,1,1,1,0,0,0,1454029
THE HOURS,2003 - 9th Annual,1,1,1,0,0,0,0,0,0,0,0,0,274558
THE HURRICANE,2000 - 6th Annual,0,0,0,1,0,0,0,0,0,0,0,0,174856
THE HURT LOCKER,2010 - 16th Annual,1,0,0,1,0,0,0,0,0,0,0,0,887912
THE IMITATION GAME,2015 - 21st Annual,1,0,1,1,0,0,0,0,0,0,0,0,2084970
THE IMPOSSIBLE,2013 - 19th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1649419
THE INSIDER,2000 - 6th Annual,0,0,0,1,0,0,0,0,0,0,0,0,140352
THE IRON LADY,2012 - 18th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1007029
THE JUDGE ,2015 - 21st Annual,0,0,0,0,0,1,0,0,0,0,0,0,1872194
THE KIDS ARE ALL RIGHT,2011 - 17th Annual,1,1,0,0,0,0,0,0,0,0,0,0,842926
THE KING'S SPEECH,2011 - 17th Annual,1,0,1,1,0,0,1,0,0,1,0,0,1504320
THE LAST KING OF SCOTLAND,2007 - 13th Annual,0,0,0,1,0,0,0,0,0,1,0,0,455590
THE LAST STATION,2010 - 16th Annual,0,1,0,0,0,0,0,0,0,0,0,0,824758
THE MIRROR HAS TWO FACES,1997 - 3rd Annual,0,0,1,0,0,0,0,0,1,0,0,0,117057
THE PAPERBOY,2013 - 19th Annual,0,0,1,0,0,0,0,0,0,0,0,0,1496422
THE PEOPLE VS. LARRY FLYNT,1997 - 3rd Annual,0,0,0,1,0,0,0,0,0,0,0,0,117318
THE PIANIST,2003 - 9th Annual,0,0,0,1,0,0,0,0,0,0,0,0,253474
THE POSTMAN / IL POSTINO,1996 - 2nd Annual,0,0,0,1,0,0,0,0,0,0,0,0,9065566
THE QUEEN,2007 - 13th Annual,0,1,0,0,0,0,0,1,0,0,0,0,436697
THE READER,2009 - 15th Annual,0,0,1,0,0,0,0,0,1,0,0,0,976051
THE RIVER WILD,1995 - 1st Annual,0,1,0,0,0,0,0,0,0,0,0,0,110997
THE SESSIONS,2013 - 19th Annual,0,0,1,1,0,0,0,0,0,0,0,0,1866249
THE SHAWSHANK REDEMPTION,1995 - 1st Annual,0,0,0,1,0,0,0,0,0,0,0,0,111161
THE SHIPPING NEWS,2002 - 8th Annual,0,0,1,0,0,0,0,0,0,0,0,0,120824
THE SOCIAL NETWORK,2011 - 17th Annual,1,0,0,1,0,0,0,0,0,0,0,0,1285016
THE STATION AGENT,2004 - 10th Annual,1,1,0,1,0,0,0,0,0,0,0,0,340377
THE THEORY OF EVERYTHING,2015 - 21st Annual,1,1,0,1,0,0,0,0,0,1,0,0,2980516
THE VISITOR,2009 - 15th Annual,0,0,0,1,0,0,0,0,0,0,0,0,857191
