film,year_film,gg_nominee_Best Motion Picture - Drama,gg_winner_Best Motion Picture - Drama,gg_nominee_Best Motion Picture - Musical or Comedy,gg_winner_Best Motion Picture - Musical or Comedy,gg_nominee_Best Performance by an Actress in a Motion Picture - Drama,gg_winner_Best Performance by an Actress in a Motion Picture - Drama,gg_nominee_Best Performance by an Actor in a Motion Picture - Drama,gg_winner_Best Performance by an Actor in a Motion Picture - Drama,gg_nominee_Best Performance by an Actor in a Motion Picture - Musical or Comedy,gg_winner_Best Performance by an Actor in a Motion Picture - Musical or Comedy,gg_nominee_Best Performance by an Actress in a Supporting Role in any Motion Picture,gg_winner_Best Performance by an Actress in a Supporting Role in any Motion Picture,gg_nominee_Best Performance by an Actor in a Supporting Role in any Motion Picture,gg_winner_Best Performance by an Actor in a Supporting Role in any Motion Picture,gg_nominee_Best Director - Motion Picture,gg_winner_Best Director - Motion Picture,gg_nominee_Best Screenplay - Motion Picture,gg_winner_Best Screenplay - Motion Picture,gg_nominee_Best Original Score - Motion Picture,gg_winner_Best Original Score - Motion Picture,gg_nominee_Best Motion Picture - Foreign Language,gg_winner_Best Motion Picture - Foreign Language,gg_nominee_Best Original Song - Motion Picture,gg_winner_Best Original Song - Motion Picture,gg_nominee_Best Performance by an Actress in a Motion Picture - Musical or Comedy,gg_winner_Best Performance by an Actress in a Motion Picture - Musical or Comedy,gg_nominee_Best Motion Picture - Animated,gg_winner_Best Motion Picture - Animated,imdb_id
"Adventures of Priscilla, Queen of the Desert, The",1994,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109045.0
"Adventures of Tintin, The",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,983193.0
Affliction,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118564.0
"African Elephant, The",1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141517.0
After Hours,1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88680.0
Against All Odds,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86859.0
"Age of Innocence, The",1993,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106226.0
Agnes of God,1985,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88683.0
"Agony and The Ecstasy, The",1965,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58886.0
Airplane!,1980,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80339.0
Airport,1970,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65377.0
Aladdin,1992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,6139732.0
Albert Nobbs,2011,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1602098.0
Alfie (1966),1966,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,60086.0
Alfie (2004),2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,375173.0
Ali,2001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,248667.0
Alice (1990),1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99012.0
Alice Doesn't Live Here Anymore,1974,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71115.0
Alice in Wonderland,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1014759.0
Alien,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78748.0
Aliens,1986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90605.0
All Is Lost,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2017038.0
All That Jazz,1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78754.0
